Model,RMSE,MAE,R² Score,CV R² (mean),CV R² (std)
Random Forest,2.1252,0.5114,0.9895,0.9786,0.0117
MLP Neural Net,2.1713,0.7143,0.989,0.9807,0.009
AdaBoost,2.3731,0.8892,0.9869,0.972,0.0157
Gradient Boosting,2.4,0.6179,0.9866,0.9789,0.0105
Extra Trees,2.6038,0.6246,0.9842,0.9789,0.0093
Decision Tree,2.9268,0.7459,0.98,0.964,0.0241
KNN,3.1531,0.7275,0.9768,0.9704,0.0138
SVR,7.6581,1.4315,0.8634,0.8868,0.0505
Ridge Regression,9.278,6.8734,0.7994,0.7986,0.0141
Linear Regression,9.2847,6.9105,0.7991,0.7985,0.014
